event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Bottom middle,FALSE,1,457.8,7.4,3.404352414,TRUE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Over the net,FALSE,1,651.7,19.7,4.924092792,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,1059.5,13.1,3.22864787,FALSE,TRUE,TRUE,TRUE,FALSE
Shot Attempt - Over the net,FALSE,1,1069.4,3.2,3.96031183,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,50,12.6,32.86867893,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,2,381.9,16.8,2.911251762,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,436.8,21.9,4.52039201,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,480.7,15.9,7.209381129,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,560.8,15.5,4.98241959,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Upper left,TRUE,2,574.8,11.6,30.74722023,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,831.9,4.1,0,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Upper right,TRUE,2,838.9,12.2,5.322449159,FALSE,FALSE,FALSE,FALSE,TRUE
Shot Attempt - Blocked,FALSE,3,920.6,11,76.21840276,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,764,14.6,32.23678655,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,2,956.9,13.3,3.065904184,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Over the net,FALSE,3,611,14.7,41.70388403,FALSE,FALSE,FALSE,TRUE,FALSE
